complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,reporting_delay_hours,bank_response_delay_hours,fraud_unauthorized_flag,report_date
CBK0002082,TXN00004325,USR97580,MCH1127,2026-01-28,2026-02-01,,Merchant Not Delivered,Customer says amount was debited twice.,CLOSED,2026-02-10 03:19:10,Critical,ivr,96.0,219.31944444444446,0,2026-02-01
CBK0001941,TXN00003720,USR54113,3835,,,414.69,login compromised,User reports money deducted but merchant denies receiving payment.,In Progress,,H,Call Center,,,0,
CBK0001799,TXN00012539,USR17980,MCH3700,2026-02-04,2026-02-05,,customer issue,merchant service was not delivered after payment.,OPEN,,P4,IVR,24.0,,0,2026-02-05
CBK0002465,TXN00017802,USR76148,MCH4534,,,1303.05,no service,Suspicious high-value payment disputed by customer. pls check asap,Rejected,,H,ivr,,,0,
CBK0001870,TXN00015944,USR24660,MCH1686,,,1459.42,merchant service issue,Merchant service was not delivered after payment.,In Progress,,Low,App,,,0,
CBK0002663,TXN00009741,USR40631,MCH9584,,2026-02-06,,service failed,Complaint received after multiple failed attempts. urgent,Closed,,LOW,Branch,,,0,2026-02-06
CBK0000782,TXN00015086,USR58789,MCH6008,,2026-02-10,,extra amount deducted,User says UPI PIN was not entered by them.,In Progress,,M,chatbot,,,0,2026-02-10
CBK0001838,TXN00014426,USR30157,MCH4526,,,4193.52,Service Not Provided,Merchant service was not delivered after payment. details missing,OPEN,,M,CHATBOT,,,0,
CBK0001095,TXN00015316,86750,MCH5980,2026-01-12,,930.83,dispute raised,Customer complaint text unclear due to poor call center notes.,Open,,P2,Branch,,,0,
CBK0002541,TXN00002822,USR11987,MCH3992,,,,UNAUTHORISED,User claims account was compromised before transaction.,OPEN,,P2,ivr,,,1,
CBK0001147,TXN00002456,USR89588,MCH2614,,,1805.23,double debit,customer says amount was debited twice.,IN_PROGRESS,,P4,chatbot,,,0,
CBK0001137,TXN00015627,USR35882,MCH8913,,,,dispute raised,Customer says amount was debited twice.,Resolved,2026-02-06 08:07:54,Medium,CHATBOT,,,0,
CBK0002213,TXN00009870,USR79046,8457,,2026-02-17,,Merchant Not Delivered,Merchant service was not delivered after payment.,WIP,,P3,IVR,,,0,2026-02-17
CBK0000946,TXN00013141,USR22644,MCH9193,,,,Fraud Suspected,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,IN_PROGRESS,,CRITICAL,Email,,,1,
CBK0002366,TXN00012165,USR98915,MCH6399,2026-02-20,,,fraud,Customer says transaction was not authorized.,IN_PROGRESS,,P4,Call Center,,,1,
CBK0002026,TXN00019737,USR27262,MCH4852,,,174.11,charged twice,Merchant service was not delivered after payment.,RESOLVED,,MEDIUM,IVR,,,0,
CBK0001099,TXN00011289,USR94570,MCH4545,,2026-02-04,,Account Takeover,Payment made to unknown merchant as per customer statement.,Closed,,CRITICAL,IVR,,,0,2026-02-04
CBK0001197,TXN00006253,USR19220,MCH7286,2026-01-08,2026-01-10,,dispute raised,Complaint received after multiple failed attempts.,Rejected,,Medium,CHATBOT,48.0,,0,2026-01-10
CBK0002347,TXN00010961,USR55439,MCH7581,,,1126.18,Wrong Amount,Customer says transaction was not authorized.,Rejected,,LOW,Branch,,,0,
CBK0000289,TXN00005764,USR38028,MCH6758,,,513.84,Fraud Suspected,User claims account was compromised before transaction.,REJECTED,,Medium,chatbot,,,1,
CBK0002002,TXN00010298,USR97772,MCH5269,2026-01-03,2026-01-08,534.44,service failed,Merchant service was not delivered after payment. urgent,WIP,2026-02-03 23:32:04,P1,chatbot,120.0,647.5344444444445,0,2026-01-08
CBK0000512,TXN00014054,USR27947,MCH7667,,2026-01-26,,Unauthorized Transaction,Customer says amount was debited twice.,Closed,,P4,CHATBOT,,,1,2026-01-26
CBK0001155,TXN00010146,USR94690,MCH3957,,,,unauthorized_transaction,Payment made to unknown merchant as per customer statement.,In Progress,,MEDIUM,IVR,,,1,
CBK0001330,TXN00005940,USR67471,MCH8738,,,,DUP_DEBIT,Suspicious high-value payment disputed by customer.,Pending Bank,,MEDIUM,CHATBOT,,,0,
CBK0000259,TXN00017504,USR24872,MCH9291,,,12647.35,unauthorized_transaction,merchant service was not delivered after payment.,IN_PROGRESS,,P4,chatbot,,,1,
CBK0000164,TXN00010786,USR79443,MCH3729,,,,charged twice,Payment made to unknown merchant as per customer statement.,CLOSED,2026-01-23 04:00:24,MEDIUM,IVR,,,0,
CBK0000681,TXN00006290,USR89588,MCH9105,2026-01-28,,,extra amount deducted,Merchant service was not delivered after payment.,REJECTED,,LOW,IVR,,,0,
CBK0002683,TXN00004094,USR73891,MCH8154,,,2519.45,incorrect amount,suspicious high-value payment disputed by customer.,In Progress,,HIGH,ivr,,,0,
CBK0002792,TXN00005061,USR22154,MCH9022,,2026-03-02,,account hacked,Customer says amount was debited twice.,REJECTED,,High,chatbot,,,0,2026-03-02
CBK0000594,TXN65742,USR32980,MCH7020,2026-02-19,,,Merchant Not Delivered,suspicious high-value payment disputed by customer.,Closed,,MEDIUM,Email,,,0,
CBK0001247,TXN00003165,USR41524,MCH2342,,,,scam,Suspicious high-value payment disputed by customer.,Resolved,,Medium,Call Center,,,0,
CBK0000566,TXN00000086,USR11727,MCH4948,,,411.83,unauth txn,User says UPI PIN was not entered by them.,REJECTED,,H,CHATBOT,,,0,
CBK0002764,TXN00014418,USR71468,MCH6403,,,1393.43,Service Not Provided,customer complaint text unclear due to poor call center notes.,PENDING_BANK,,M,Email,,,0,
CBK0000023,TXN00001464,92751,MCH2757,,,,Merchant Not Delivered,MERCHANT SERVICE WAS NOT DELIVERED AFTER PAYMENT.,RESOLVED,,P3,ivr,,,0,
CBK0000361,TXN00012527,USR24926,MCH7438,,,,Duplicate Debit,User claims account was compromised before transaction.,CLOSED,,LOW,IVR,,,0,
CBK0002544,TXN00018727,USR27888,MCH5076,,,10161.06,delivery issue,merchant service was not delivered after payment.,Open,2026-04-24 20:26:11,HIGH,CHATBOT,,,0,
CBK0000430,TXN00018881,USR47299,MCH3382,,,2108.9,fraud,Merchant service was not delivered after payment. urgent,IN_PROGRESS,2026-03-23 06:20:31,P2,ivr,,,1,
CBK0001264,TXN00008143,USR92737,MCH4183,,,,unauth txn,Merchant service was not delivered after payment.,OPEN,,L,ivr,,,0,
CBK0001919,TXN00005826,USR72795,MCH2259,,,,login compromised,Merchant service was not delivered after payment.,Rejected,,P1,IVR,,,0,
CBK0000069,TXN00002744,USR21384,MCH4252,,,,delivery issue,USER CLAIMS ACCOUNT WAS COMPROMISED BEFORE TRANSACTION.,In Progress,,CRIT,Email,,,0,
CBK0001760,TXN00017025,USR79110,MCH1320,,,,FRAUD,user says upi pin was not entered by them.,Resolved,,Low,ivr,,,1,
CBK0002232,TXN00009269,USR99886,MCH1941,,,,Merchant Not Delivered,Payment made to unknown merchant as per customer statement.,CLOSED,,Medium,CHATBOT,,,0,
CBK0002798,TXN66039,USR24087,MCH6965,,,,Service Not Provided,User reports money deducted but merchant denies receiving payment.,RESOLVED,,P4,CHATBOT,,,0,
CBK0000080,TXN00007630,USR70905,MCH7833,,,963.14,Duplicate Debit,user claims account was compromised before transaction.,IN_PROGRESS,,P4,Branch,,,0,
CBK0000789,TXN00006632,USR56899,MCH7296,,,,fraud,Merchant service was not delivered after payment.,WIP,,L,Email,,,1,
CBK0002564,TXN00013473,USR78994,2383,,,2485.28,Customer Dispute,Customer says amount was debited twice.,Pending Bank,,MEDIUM,CHATBOT,,,0,
CBK0000359,TXN00014970,USR35935,3100,,2026-02-20,3336.7,Account Takeover,user reports money deducted but merchant denies receiving payment.,WIP,2026-03-12 18:19:47,MEDIUM,CHATBOT,,498.32972222222224,0,2026-02-20
CBK0002003,TXN00015085,USR71636,MCH4256,,,-956.46,Merchant Not Delivered,suspicious high-value payment disputed by customer.,In Progress,,P3,App,,,0,
CBK0002463,TXN00014364,USR87498,MCH4089,,,,suspicious transaction,Customer says amount was debited twice.,Resolved,,LOW,chatbot,,,0,
CBK0001171,TXN00006955,USR26685,MCH3901,,,1336.86,ATO,payment made to unknown merchant as per customer statement.,OPEN,,LOW,chatbot,,,0,
CBK0002716,TXN00003119,USR34955,MCH8691,,,,suspicious transaction,Payment made to unknown merchant as per customer statement.,CLOSED,,L,Email,,,0,
CBK0001839,TXN00004638,USR67862,MCH8953,,,,extra amount deducted,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,,High,Email,,,0,
CBK0002314,TXN00014145,USR21162,MCH2383,,,,suspicious transaction,Complaint received after multiple failed attempts.,CLOSED,,L,ivr,,,0,
CBK0000406,TXN00007974,USR33394,MCH3064,,,4101.89,Wrong Amount,user claims account was compromised before transaction.,Open,2026-03-20 06:27:39,Low,ivr,,,0,
CBK0002718,TXN00013934,USR84084,MCH7370,,,,Account Takeover,User claims account was compromised before transaction.,OPEN,,L,ivr,,,0,
CBK0002400,TXN00015733,USR87357,MCH9878,2026-01-22,2026-01-25,2313.86,UNAUTHORISED,customer complaint text unclear due to poor call center notes.,CLOSED,,P3,ivr,72.0,,1,2026-01-25
CBK0002758,,USR60667,MCH2383,,,1225.29,fraud,payment made to unknown merchant as per customer statement.,IN_PROGRESS,,Medium,Branch,,,1,
CBK0002250,TXN00008645,USR60783,MCH8613,,,5443.5,Unauthorized Transaction,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,CLOSED,,HIGH,Call Center,,,1,
CBK0000661,TXN00012553,USR87727,MCH8876,,2026-01-23,901.62,no service,User claims account was compromised before transaction.,Resolved,2026-02-15 06:03:00,Low,IVR,,558.05,0,2026-01-23
CBK0001020,TXN84758,USR36590,MCH1368,,,,Service Not Provided,User says UPI PIN was not entered by them.,Open,,H,ivr,,,0,
CBK0002104,TXN00006293,USR48479,MCH8779,,,,DUP_DEBIT,Complaint received after multiple failed attempts.,REJECTED,,LOW,Branch,,,0,
CBK0002572,TXN00002760,USR49176,MCH2925,,,1345.79,unauth txn,User says UPI PIN was not entered by them.,RESOLVED,,L,ivr,,,0,
CBK0000929,TXN00014710,USR38547,MCH5541,,,,Unauthorized Transaction,Merchant service was not delivered after payment.,OPEN,,M,IVR,,,1,
CBK0002608,TXN00012654,USR13367,MCH8076,,,,account hacked,User claims account was compromised before transaction.,RESOLVED,,P4,App,,,0,
CBK0002430,TXN00019681,USR37650,MCH5655,2026-01-29,,,not delivered,Customer says amount was debited twice.,Resolved,,High,ivr,,,0,
CBK0002156,TXN00013206,USR11987,MCH6665,,,26477.69,Customer Dispute,Complaint received after multiple failed attempts.,In Progress,,High,Email,,,0,
CBK0000366,TXN00002078,USR73403,MCH5076,,,6907.46,extra amount deducted,Customer says transaction was not authorized.,Closed,,LOW,Call Center,,,0,
CBK0000432,TXN94213,USR96958,MCH7286,,,-1411.26,unauth txn,User reports money deducted but merchant denies receiving payment.,RESOLVED,,High,Email,,,0,
CBK0001972,TXN00001376,USR12133,MCH6555,,,,item not received,Merchant service was not delivered after payment.,Closed,,M,chatbot,,,0,
CBK0001250,TXN00015587,USR11697,MCH8741,2026-02-02,,11364.57,no service,Complaint received after multiple failed attempts.,PENDING_BANK,,Low,App,,,0,
CBK0001283,TXN00002013,USR31545,MCH5974,,,,unauth txn,Suspicious high-value payment disputed by customer.,REJECTED,,Medium,Call Center,,,0,
CBK0000973,TXN00016040,USR25345,MCH3851,,,,unauth txn,Complaint received after multiple failed attempts.,PENDING_BANK,,Low,IVR,,,0,
CBK0000578,TXN00006468,USR71457,MCH6810,,,7884.04,UNAUTHORISED,Suspicious high-value payment disputed by customer.,IN_PROGRESS,,Low,ivr,,,1,
CBK0001696,TXN00019601,USR19556,MCH5844,,,9956.85,ATO,Suspicious high-value payment disputed by customer.,Closed,,P2,CHATBOT,,,0,
CBK0002333,TXN00002832,USR10042,MCH1611,,,8214.17,Account Takeover,Merchant service was not delivered after payment.,Rejected,,P3,IVR,,,0,
CBK0001122,TXN00015275,USR61052,MCH8979,,,320.53,not delivered,Complaint received after multiple failed attempts.,REJECTED,,Medium,ivr,,,0,
CBK0000959,TXN00011129,USR50320,MCH6319,2026-02-07,,,unauth txn,User reports money deducted but merchant denies receiving payment.,Closed,,P3,Email,,,0,
CBK0001968,,USR46599,MCH1320,,,2799.09,dispute raised,Customer says amount was debited twice.,Pending Bank,,M,Email,,,0,
CBK0001828,TXN00016623,USR59679,MCH8755,2026-01-05,,818.66,account hacked,Customer says amount was debited twice. pls check asap,PENDING_BANK,2026-02-03 08:21:37,HIGH,Branch,,,0,
CBK0001654,TXN00012039,USR76792,MCH6492,,,,extra amount deducted,User reports money deducted but merchant denies receiving payment.,WIP,,P2,Call Center,,,0,
CBK0002440,TXN00014010,USR71922,MCH6703,,,,unauth txn,complaint received after multiple failed attempts.,WIP,,High,ivr,,,0,
CBK0001278,TXN00008385,USR17657,MCH3542,2026-02-20,2026-04-06,,dispute raised,PAYMENT MADE TO UNKNOWN MERCHANT AS PER CUSTOMER STATEMENT.,Resolved,,LOW,CHATBOT,1080.0,,0,2026-04-06
CBK0002370,TXN00001816,USR24664,MCH3992,,,,DUP_DEBIT,Payment made to unknown merchant as per customer statement.,PENDING_BANK,,Low,Call Center,,,0,
CBK0001105,TXN00019695,USR34180,MCH6310,,,1782.96,Duplicate Debit,User reports money deducted but merchant denies receiving payment.,OPEN,,M,chatbot,,,0,
CBK0000180,TXN00019503,USR70812,MCH3936,,,,not delivered,user claims account was compromised before transaction.,WIP,,L,Branch,,,0,
CBK0000369,TXN00008758,USR86274,MCH3418,,,,UNAUTHORISED,User says UPI PIN was not entered by them.,IN_PROGRESS,,M,ivr,,,1,
CBK0002303,TXN00016593,USR96415,MCH1320,,2026-01-13,6511.97,Unauthorized Transaction,Customer complaint text unclear due to poor call center notes.,Resolved,2026-01-22 01:23:48,MEDIUM,ivr,,217.39666666666668,1,2026-01-13
CBK0001525,TXN00004103,USR18453,MCH7793,,,4864.83,ATO,User claims account was compromised before transaction.,CLOSED,,Medium,Email,,,0,
CBK0000316,TXN00016400,USR40842,MCH3815,,,,Wrong Amount,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,Resolved,,P3,CHATBOT,,,0,
CBK0001238,TXN00006193,USR35817,7061,,,26207.56,FRAUD,Customer says amount was debited twice.,In Progress,,LOW,App,,,1,
CBK0002585,TXN00018187,USR23937,MCH4560,,,,ATO,Customer complaint text unclear due to poor call center notes.,RESOLVED,,M,chatbot,,,0,
CBK0001427,TXN00019824,USR76289,MCH5563,,,,no service,Suspicious high-value payment disputed by customer.,Rejected,,CRITICAL,Email,,,0,
CBK0002514,TXN00001801,USR99493,MCH3992,,,,not delivered,Customer says transaction was not authorized.,PENDING_BANK,,Low,Branch,,,0,
CBK0001680,TXN00009645,USR11085,MCH7073,,,3937.19,not delivered,Complaint received after multiple failed attempts.,OPEN,,MEDIUM,chatbot,,,0,
CBK0002041,TXN00015934,USR69637,MCH2240,,,1508.23,complaint,Customer complaint text unclear due to poor call center notes.,CLOSED,,P2,CHATBOT,,,0,
CBK0002780,TXN40959,USR75376,MCH4293,,,823.15,item not received,User says UPI PIN was not entered by them.,WIP,,H,chatbot,,,0,
CBK0000294,TXN00019876,USR55690,MCH6739,,,2134.32,Duplicate Debit,CUSTOMER COMPLAINT TEXT UNCLEAR DUE TO POOR CALL CENTER NOTES.,PENDING_BANK,,Low,ivr,,,0,
CBK0002617,TXN00016671,USR60544,MCH7838,2026-02-09,,1587.1,Customer Dispute,User claims account was compromised before transaction.,REJECTED,,LOW,Call Center,,,0,
CBK0001175,TXN61071,USR22543,MCH3116,,,,customer issue,customer says amount was debited twice.,In Progress,,P1,chatbot,,,0,
CBK0001087,TXN00014733,USR20889,MCH5264,,,,merchant service issue,Suspicious high-value payment disputed by customer.,In Progress,,P2,Call Center,,,0,
CBK0002077,TXN00005419,USR55970,MCH9128,,2026-01-30,,Fraud Suspected,Payment made to unknown merchant as per customer statement.,Rejected,,P4,Call Center,,,1,2026-01-30
CBK0001820,TXN00007866,USR51854,MCH1450,,,-2477.45,incorrect amount,complaint received after multiple failed attempts.,Rejected,,LOW,Email,,,0,
CBK0001018,TXN00018348,USR13510,1320,,,1207.49,Unauthorized Transaction,Complaint received after multiple failed attempts.,Resolved,,P4,App,,,1,
CBK0001949,TXN00000319,USR60096,MCH4998,2026-02-19,,,customer issue,Customer says amount was debited twice.,PENDING_BANK,,MEDIUM,Email,,,0,
CBK0000860,TXN00007296,USR97580,MCH3701,2026-02-04,,,delivery issue,Suspicious high-value payment disputed by customer.,Pending Bank,,M,CHATBOT,,,0,
CBK0000879,TXN00018041,USR59366,MCH6145,,,,scam,Customer complaint text unclear due to poor call center notes.,PENDING_BANK,,P4,ivr,,,0,
CBK0001383,TXN00005315,USR50648,MCH2822,,,819.89,Customer Dispute,User reports money deducted but merchant denies receiving payment.,OPEN,2026-03-27 05:23:46,L,chatbot,,,0,
CBK0001532,,USR52450,MCH6244,,,3174.58,complaint,User reports money deducted but merchant denies receiving payment.,Rejected,,L,IVR,,,0,
CBK0000448,TXN00013063,USR62513,MCH8391,,,395.16,merchant service issue,Suspicious high-value payment disputed by customer.,Rejected,,Medium,Email,,,0,
CBK0002336,TXN00014456,USR56287,MCH4473,,,,merchant service issue,Merchant service was not delivered after payment.,PENDING_BANK,,Low,Email,,,0,
CBK0001121,TXN00005396,USR14769,MCH8455,,,,scam,Customer says transaction was not authorized.,Open,,P3,Email,,,0,
CBK0001266,TXN00017098,USR19427,MCH5980,,,1358.37,DUP_DEBIT,Complaint received after multiple failed attempts.,Rejected,,P3,chatbot,,,0,
CBK0001732,TXN00007456,USR17657,MCH3806,2026-03-17,2026-03-17,,Fraud Suspected,User claims account was compromised before transaction.,CLOSED,,P1,Branch,0.0,,1,2026-03-17
CBK0000575,TXN00009966,USR40897,MCH9575,2026-02-23,,,item not received,merchant service was not delivered after payment.,REJECTED,,CRIT,Email,,,0,
CBK0002268,TXN00008063,USR89588,MCH1457,,,,complaint,User says UPI PIN was not entered by them.,Open,,P2,Branch,,,0,
CBK0001126,TXN00007982,USR35882,MCH4473,,,-3415.3,unauthorized_transaction,Merchant service was not delivered after payment.,Closed,,P2,Email,,,1,
CBK0002517,TXN00011567,USR30157,MCH1130,2026-01-26,,-7727.83,complaint,Customer says transaction was not authorized. urgent,Closed,2026-01-30 22:31:46,M,Call Center,,,0,
CBK0001815,TXN00017040,USR53591,MCH4590,,,,item not received,Payment made to unknown merchant as per customer statement.,WIP,,Medium,IVR,,,0,
CBK0000752,TXN00012584,USR47668,MCH3678,,,397.91,Customer Dispute,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,CLOSED,,P4,App,,,0,
CBK0000688,TXN00018235,USR63160,MCH6399,,,,Customer Dispute,User says UPI PIN was not entered by them.,Rejected,,HIGH,App,,,0,
CBK0001827,TXN00003656,USR60742,MCH3472,2026-03-26,2026-04-11,1011.36,dispute raised,complaint received after multiple failed attempts.,Rejected,,P4,Branch,384.0,,0,2026-04-11
CBK0001798,TXN00017706,USR24802,MCH9650,,2026-01-24,1159.44,Account Takeover,User says UPI PIN was not entered by them.,Closed,,Low,Branch,,,0,2026-01-24
CBK0001588,TXN00006200,USR71373,MCH4370,,,5233.09,not delivered,Customer says transaction was not authorized.,WIP,,P2,Email,,,0,
CBK0001960,TXN00008459,USR48339,MCH3765,,,,Account Takeover,Customer complaint text unclear due to poor call center notes.,WIP,,M,Call Center,,,0,
CBK0000227,TXN00013273,USR34180,MCH1485,,,465.76,login compromised,User claims account was compromised before transaction.,PENDING_BANK,,H,Email,,,0,
CBK0001487,TXN00015922,USR41135,MCH5982,,,-759.33,dispute raised,Complaint received after multiple failed attempts.,WIP,,P2,IVR,,,0,
CBK0002403,TXN00000926,USR32749,MCH6945,,,,no service,SUSPICIOUS HIGH-VALUE PAYMENT DISPUTED BY CUSTOMER.,IN_PROGRESS,2026-04-17 13:26:01,P3,CHATBOT,,,0,
CBK0001606,TXN00006400,USR91446,MCH8696,2026-01-29,2026-02-01,,UNAUTHORISED,Suspicious high-value payment disputed by customer. call dropped,In Progress,,High,Email,72.0,,1,2026-02-01
CBK0002158,TXN00015104,USR76750,MCH6228,,,2517.56,Customer Dispute,User claims account was compromised before transaction.,Rejected,,LOW,Branch,,,0,
CBK0000247,TXN00019340,USR75302,MCH7286,,,,service failed,Customer says transaction was not authorized.,RESOLVED,,P2,Call Center,,,0,
CBK0002588,TXN00008732,USR22039,MCH2374,,,3491.72,charged twice,User says UPI PIN was not entered by them.,CLOSED,,HIGH,chatbot,,,0,
CBK0001636,TXN00012003,USR66224,MCH3992,,,,extra amount deducted,SUSPICIOUS HIGH-VALUE PAYMENT DISPUTED BY CUSTOMER.,WIP,,P3,App,,,0,
CBK0001542,TXN00007849,68559,MCH4064,,,,Service Not Provided,Complaint received after multiple failed attempts.,PENDING_BANK,,MEDIUM,Branch,,,0,
CBK0000088,TXN00002716,USR62830,MCH4381,2026-01-22,,,incorrect amount,merchant service was not delivered after payment.,Rejected,,Medium,Call Center,,,0,
CBK0002664,TXN00008946,USR84093,MCH1298,,,,unauth txn,Suspicious high-value payment disputed by customer. details missing,REJECTED,,M,IVR,,,0,
CBK0001415,TXN00018932,USR90778,MCH1764,,,,not done by me,complaint received after multiple failed attempts.,Open,,High,ivr,,,0,
CBK0000390,TXN00006356,USR12919,MCH6810,,,-344.33,customer issue,User says UPI PIN was not entered by them.,RESOLVED,,P4,Call Center,,,0,
CBK0000693,TXN00018137,USR29306,MCH7744,,,,extra amount deducted,Customer says txn was not authorized.,IN_PROGRESS,,M,IVR,,,0,
CBK0002485,TXN00010063,USR21384,MCH6470,2026-03-03,2026-03-05,-1603.64,Service Not Provided,complaint received after multiple failed attempts.,IN_PROGRESS,,P3,Branch,48.0,,0,2026-03-05
CBK0002258,TXN00014019,USR41320,MCH3992,,,,ATO,User claims account was compromised before transaction.,Resolved,,L,Email,,,0,
CBK0002045,TXN00002711,USR57231,MCH4181,2026-01-23,,,Service Not Provided,Customer complaint text unclear due to poor call center notes.,CLOSED,,Low,chatbot,,,0,
CBK0000122,TXN00015011,USR79150,MCH7474,,,,UNAUTHORISED,User reports money deducted but merchant denies receiving payment.,IN_PROGRESS,,P4,Email,,,1,
CBK0002239,TXN00004673,USR82373,MCH4473,,,1272.25,Customer Dispute,Customer says amount was debited twice.,Resolved,2026-02-26 04:50:18,LOW,CHATBOT,,,0,
CBK0001382,,USR57424,MCH4684,,,678.56,unauth txn,Customer complaint text unclear due to poor call center notes.,Pending Bank,,Low,ivr,,,0,
CBK0002315,TXN00012331,USR91192,MCH2718,,,,FRAUD,Customer complaint text unclear due to poor call center notes.,PENDING_BANK,,M,Branch,,,1,
CBK0001978,TXN00012089,83284,MCH4334,,,1931.29,UNAUTHORISED,User reports money deducted but merchant denies receiving payment.,Open,,Low,ivr,,,1,
CBK0001151,TXN00002195,USR98362,MCH1468,,,,Unauthorized Transaction,Complaint received after multiple failed attempts.,Rejected,,L,App,,,1,
CBK0000424,TXN95161,USR40061,MCH1589,,,,Wrong Amount,Payment made to unknown merchant as per customer statement.,Open,,P4,ivr,,,0,
CBK0002543,TXN00001628,USR11727,MCH7286,2026-02-09,,,amount mismatch,Payment made to unknown merchant as per customer statement.,PENDING_BANK,,MEDIUM,IVR,,,0,
CBK0000371,TXN00002374,USR58639,MCH5954,,,,unauth txn,Customer complaint text unclear due to poor call center notes.,Resolved,,P2,App,,,0,
CBK0001586,TXN00001182,USR80241,MCH7734,,,261.51,service failed,User says UPI PIN was not entered by them. pls check asap,Pending Bank,,P3,Branch,,,0,
CBK0002553,TXN00012590,USR41260,MCH4089,2026-03-16,,,dispute raised,COMPLAINT RECEIVED AFTER MULTIPLE FAILED ATTEMPTS.,Closed,,P1,ivr,,,0,
CBK0002432,TXN00013381,USR11036,MCH9344,,,738.73,extra amount deducted,User claims account was compromised before transaction.,Pending Bank,,Medium,IVR,,,0,
CBK0001998,TXN00000406,USR93650,MCH2266,,2026-02-01,,Fraud Suspected,Customer says amount was debited twice.,IN_PROGRESS,,High,CHATBOT,,,1,2026-02-01
CBK0002566,TXN00000405,USR64878,MCH8953,,,3060.38,not delivered,suspicious high-value payment disputed by customer.,WIP,,LOW,App,,,0,
CBK0001756,TXN00005028,USR40684,MCH7978,,,1800.13,login compromised,User reports money deducted but merchant denies receiving payment.,Pending Bank,,HIGH,CHATBOT,,,0,
CBK0002645,TXN00004392,43033,3019,,,272.46,merchant service issue,User claims account was compromised before transaction.,Rejected,2026-03-09 12:13:05,LOW,CHATBOT,,,0,
